500170752 tokens | train_loss=4.7119 | val_loss=7.5820
1000046592 tokens | train_loss=4.1904 | val_loss=5.6052
1500217344 tokens | train_loss=4.5155 | val_loss=4.0475
2000093184 tokens | train_loss=3.9333 | val_loss=3.8067
2500263936 tokens | train_loss=3.8878 | val_loss=3.9324
3000139776 tokens | train_loss=4.2298 | val_loss=4.0417
3500015616 tokens | train_loss=4.2152 | val_loss=3.2998
4000186368 tokens | train_loss=3.6469 | val_loss=3.4482
4500062208 tokens | train_loss=3.5330 | val_loss=3.3117
5000232960 tokens | train_loss=3.9922 | val_loss=3.0791
5500108800 tokens | train_loss=3.9808 | val_loss=3.2283
6000279552 tokens | train_loss=3.5041 | val_loss=3.2071
6500155392 tokens | train_loss=3.4152 | val_loss=3.2349
7000031232 tokens | train_loss=3.8218 | val_loss=3.3374
7500201984 tokens | train_loss=3.4579 | val_loss=2.8609
8000077824 tokens | train_loss=3.4685 | val_loss=2.8391
8500248576 tokens | train_loss=3.5513 | val_loss=3.1027
9000124416 tokens | train_loss=3.7738 | val_loss=2.8651
9500000256 tokens | train_loss=3.5143 | val_loss=2.9383
10000171008 tokens | train_loss=3.4365 | val_loss=3.0135
10500046848 tokens | train_loss=3.2899 | val_loss=3.0760
11000217600 tokens | train_loss=3.8073 | val_loss=3.0452
11500093440 tokens | train_loss=3.3463 | val_loss=3.0047
12000264192 tokens | train_loss=3.4106 | val_loss=3.0966
12500140032 tokens | train_loss=3.5149 | val_loss=2.8882
13000015872 tokens | train_loss=3.8490 | val_loss=3.0246
13500186624 tokens | train_loss=3.4393 | val_loss=3.0505
14000062464 tokens | train_loss=3.2684 | val_loss=3.3266
14500233216 tokens | train_loss=3.6528 | val_loss=3.3958
15000109056 tokens | train_loss=3.3088 | val_loss=3.3879
15500279808 tokens | train_loss=3.3309 | val_loss=3.3635
16000155648 tokens | train_loss=3.5488 | val_loss=3.3538
16500031488 tokens | train_loss=3.9134 | val_loss=3.3262
17000202240 tokens | train_loss=3.2654 | val_loss=3.3045
17500078080 tokens | train_loss=3.2374 | val_loss=3.3202
18000248832 tokens | train_loss=3.5705 | val_loss=3.3047
18500124672 tokens | train_loss=3.6363 | val_loss=3.5716
19000000512 tokens | train_loss=3.3658 | val_loss=3.8418
19500171264 tokens | train_loss=3.4823 | val_loss=3.8381
20000047104 tokens | train_loss=3.9032 | val_loss=3.8456
20500217856 tokens | train_loss=3.2938 | val_loss=3.8464
21000093696 tokens | train_loss=3.2682 | val_loss=3.8352
21500264448 tokens | train_loss=3.1547 | val_loss=3.1437
22000140288 tokens | train_loss=3.6678 | val_loss=3.1509
22500016128 tokens | train_loss=3.2386 | val_loss=3.1423
23000186880 tokens | train_loss=3.2558 | val_loss=3.1393
23500062720 tokens | train_loss=3.4417 | val_loss=3.1659
24000233472 tokens | train_loss=3.7511 | val_loss=3.1783
24500109312 tokens | train_loss=3.2954 | val_loss=3.1370
25000280064 tokens | train_loss=3.2203 | val_loss=3.1416
