500023296 tokens | train_loss=3.8423 | val_loss=4.6444
1000022016 tokens | train_loss=3.5566 | val_loss=4.6335
1500020736 tokens | train_loss=4.0693 | val_loss=3.2909
2000019456 tokens | train_loss=3.4377 | val_loss=3.8220
2500018176 tokens | train_loss=3.6233 | val_loss=4.1227
3000016896 tokens | train_loss=3.6940 | val_loss=3.4770
3500015616 tokens | train_loss=3.8357 | val_loss=3.1242
4000014336 tokens | train_loss=3.2514 | val_loss=3.4984
4500013056 tokens | train_loss=3.2256 | val_loss=3.5277
5000011776 tokens | train_loss=3.5062 | val_loss=3.1044
5500010496 tokens | train_loss=3.4981 | val_loss=3.1835
6000009216 tokens | train_loss=3.3322 | val_loss=3.5596
6500007936 tokens | train_loss=3.2520 | val_loss=3.7392
7000006656 tokens | train_loss=3.6938 | val_loss=3.8097
7500005376 tokens | train_loss=3.1438 | val_loss=3.2324
8000004096 tokens | train_loss=3.2878 | val_loss=3.4183
8500002816 tokens | train_loss=3.4876 | val_loss=3.4605
9000001536 tokens | train_loss=3.7460 | val_loss=3.1052
9500000256 tokens | train_loss=3.2440 | val_loss=3.5546
10000023552 tokens | train_loss=3.2343 | val_loss=3.5758
10500022272 tokens | train_loss=3.3145 | val_loss=3.7323
11000020992 tokens | train_loss=3.9080 | val_loss=3.1353
11500019712 tokens | train_loss=3.0258 | val_loss=3.8404
12000018432 tokens | train_loss=3.2643 | val_loss=3.1737
12500017152 tokens | train_loss=3.6297 | val_loss=2.8909
13000015872 tokens | train_loss=3.8157 | val_loss=3.0276
13500014592 tokens | train_loss=3.3544 | val_loss=3.3848
14000013312 tokens | train_loss=3.2867 | val_loss=3.3946
14500012032 tokens | train_loss=3.5645 | val_loss=3.3841
15000010752 tokens | train_loss=3.2729 | val_loss=3.6203
15500009472 tokens | train_loss=3.5008 | val_loss=3.7562
16000008192 tokens | train_loss=3.4974 | val_loss=3.7968
16500006912 tokens | train_loss=3.7360 | val_loss=3.6169
17000005632 tokens | train_loss=3.3204 | val_loss=3.6929
17500004352 tokens | train_loss=3.1747 | val_loss=3.7629
18000003072 tokens | train_loss=3.7299 | val_loss=3.7444
18500001792 tokens | train_loss=3.6387 | val_loss=3.7696
19000000512 tokens | train_loss=3.4151 | val_loss=3.7687
19500023808 tokens | train_loss=3.3888 | val_loss=3.7588
20000022528 tokens | train_loss=4.2115 | val_loss=3.6308
20500021248 tokens | train_loss=3.2771 | val_loss=3.2675
21000019968 tokens | train_loss=3.1755 | val_loss=3.2358
21500018688 tokens | train_loss=3.0586 | val_loss=3.2311
22000017408 tokens | train_loss=4.0137 | val_loss=3.2405
22500016128 tokens | train_loss=3.2082 | val_loss=3.3176
23000014848 tokens | train_loss=3.1047 | val_loss=3.2375
23500013568 tokens | train_loss=3.3530 | val_loss=3.2596
24000012288 tokens | train_loss=3.9726 | val_loss=3.3206
24500011008 tokens | train_loss=3.3130 | val_loss=3.2126
25000009728 tokens | train_loss=3.1070 | val_loss=3.1762
25500008448 tokens | train_loss=3.7618 | val_loss=3.2121
26000007168 tokens | train_loss=3.2768 | val_loss=3.2192
26500005888 tokens | train_loss=3.2115 | val_loss=3.1829
27000004608 tokens | train_loss=3.4198 | val_loss=3.1875
27500003328 tokens | train_loss=3.6060 | val_loss=3.1950
28000002048 tokens | train_loss=3.1107 | val_loss=3.1839
28500000768 tokens | train_loss=3.3989 | val_loss=3.1557
29000024064 tokens | train_loss=3.1838 | val_loss=3.1775
29500022784 tokens | train_loss=4.5765 | val_loss=3.2052
30000021504 tokens | train_loss=3.5497 | val_loss=3.2111
30500020224 tokens | train_loss=3.5142 | val_loss=3.2285
31000018944 tokens | train_loss=3.1393 | val_loss=3.2067
31500017664 tokens | train_loss=3.1371 | val_loss=3.2046
32000016384 tokens | train_loss=3.1638 | val_loss=3.2113
32500015104 tokens | train_loss=3.2324 | val_loss=3.2088
33000013824 tokens | train_loss=3.0630 | val_loss=3.1979
33500012544 tokens | train_loss=3.0996 | val_loss=2.9249
34000011264 tokens | train_loss=3.2944 | val_loss=3.0972
34500009984 tokens | train_loss=3.0408 | val_loss=3.1456
35000008704 tokens | train_loss=3.1945 | val_loss=3.1871
35500007424 tokens | train_loss=3.5825 | val_loss=3.1485
36000006144 tokens | train_loss=3.1189 | val_loss=3.1736
36500004864 tokens | train_loss=3.0828 | val_loss=3.1477
37000003584 tokens | train_loss=3.1996 | val_loss=3.1635
37500002304 tokens | train_loss=3.4980 | val_loss=3.1338
38000001024 tokens | train_loss=3.0182 | val_loss=3.1650
38500024320 tokens | train_loss=3.0280 | val_loss=3.1428
39000023040 tokens | train_loss=3.1146 | val_loss=3.1789
39500021760 tokens | train_loss=3.4640 | val_loss=3.0029
40000020480 tokens | train_loss=3.2116 | val_loss=3.0882
40500019200 tokens | train_loss=2.9599 | val_loss=3.1082
41000017920 tokens | train_loss=3.0534 | val_loss=3.1044
41500016640 tokens | train_loss=3.3061 | val_loss=3.1342
42000015360 tokens | train_loss=3.0544 | val_loss=3.1182
42500014080 tokens | train_loss=3.0724 | val_loss=3.0962
43000012800 tokens | train_loss=2.9972 | val_loss=3.1076
43500011520 tokens | train_loss=3.4554 | val_loss=3.0902
44000010240 tokens | train_loss=3.0414 | val_loss=3.1028
44500008960 tokens | train_loss=3.2082 | val_loss=3.1167
45000007680 tokens | train_loss=3.1675 | val_loss=3.1244
45500006400 tokens | train_loss=3.6986 | val_loss=3.0937
46000005120 tokens | train_loss=3.1377 | val_loss=3.1005
46500003840 tokens | train_loss=2.9734 | val_loss=3.0802
47000002560 tokens | train_loss=3.4007 | val_loss=3.3600
47500001280 tokens | train_loss=3.1636 | val_loss=3.5463
48000000000 tokens | train_loss=3.1235 | val_loss=3.5660
48500023296 tokens | train_loss=2.9934 | val_loss=3.5585
49000022016 tokens | train_loss=3.4464 | val_loss=3.4831
49500020736 tokens | train_loss=3.0579 | val_loss=3.5065
50000019456 tokens | train_loss=3.2994 | val_loss=3.5449
50500018176 tokens | train_loss=3.1048 | val_loss=3.5319
51000016896 tokens | train_loss=3.6951 | val_loss=3.4639
51500015616 tokens | train_loss=2.7730 | val_loss=3.5348
52000014336 tokens | train_loss=3.2738 | val_loss=3.5272
52500013056 tokens | train_loss=2.7536 | val_loss=3.5451
53000011776 tokens | train_loss=3.4190 | val_loss=3.4492
53500010496 tokens | train_loss=5.1363 | val_loss=3.5444
54000009216 tokens | train_loss=2.9835 | val_loss=3.5208
54500007936 tokens | train_loss=2.7986 | val_loss=3.5023
55000006656 tokens | train_loss=3.2046 | val_loss=3.4328
55500005376 tokens | train_loss=3.1972 | val_loss=3.4950
56000004096 tokens | train_loss=2.7466 | val_loss=3.4931
56500002816 tokens | train_loss=3.5723 | val_loss=3.4102
57000001536 tokens | train_loss=3.1281 | val_loss=3.4195
57500000256 tokens | train_loss=3.0508 | val_loss=3.4775
58000023552 tokens | train_loss=3.0590 | val_loss=3.4803
58500022272 tokens | train_loss=3.1582 | val_loss=3.4072
59000020992 tokens | train_loss=3.0933 | val_loss=3.4164
59500019712 tokens | train_loss=2.7755 | val_loss=3.4495
60000018432 tokens | train_loss=2.8118 | val_loss=3.4761
